Business Name,Industry,Location,Website,Phone,Contact Name,Contact Email,Contact Title,Enrichment Source,SEO Tech Score,SEO Content Score,Est. Lost Revenue,Master Search Block,Harvested At
Scottsdale Collision Center – Tempe Collision Repair & Auto Body Shop,Auto Body,"1321 E Weber Dr, Tempe, AZ 85288, USA",https://scottsdalecollisionaz.com/tempe-auto-body-shop/?utm_source=local&utm_medium=organic&utm_campaign=gbp,(602) 777-7921,Scottsdale Collision Center – Tempe Collision Repair & Auto Body Shop Representative,customerservice@scottsdalecollisionaz.com,,The Probe (Regex),45,55,"$262,500 / year",auto,2026-02-16T02:43:44.000Z
Coach Works Auto Body,Auto Body,"30 E Vine Ave, Mesa, AZ 85210, USA",http://www.coachworksautobody.com/,(480) 890-2500,Coach Works Auto Body Representative,cwsp@cox.net,,The Probe (Regex),15,25,"$30,000+ per month ($360,000 annually)",auto,2026-02-16T02:43:44.000Z
AZ AMC Restorations,Auto Body,"10712 N 96th Ave, Peoria, AZ 85345, USA",http://www.amcmusclecars.com/,(602) 317-2018,Dan Curtis,dan.curtis@amcmusclecars.com,,Gemini Ultra Extract (65%),5,0,"$90,000 annually",auto,2026-02-16T02:40:09.000Z
Norwood Equipment,Auto Body,"511 E Mohave St, Phoenix, AZ 85004, USA",https://www.norwoodequipment.com/,(602) 254-0644,Norwood Equipment Representative,darren.smith@norwoodequipment.com,,The Probe (Regex),15,10,"$14,250 per month (based on missed local SEO conversions and 2 lost B2B accounts monthly)",auto,2026-02-16T02:46:11.000Z
USA Classic Customs,Auto Body,"10020 N Cave Creek Rd ste b, Phoenix, AZ 85020, USA",http://www.usaclassiccustoms.com/,(602) 861-1982,USA Classic Customs Representative,dave@usaclassiccustoms.com,,The Probe (Regex),25,20,"$45,000 Annually",auto,2026-02-16T02:40:09.000Z
David & Sons Collisions,Auto Body,"2604 N 36th St, Phoenix, AZ 85008, USA",http://davidandsonscollision.com/,(602) 620-6050,David & Sons Collisions Representative,davidandsonscollisions@gmail.com,,The Probe (Regex),10,5,"$240,000 / year",auto,2026-02-16T02:43:44.000Z
Hot Rods By Dean,Auto Body,"1 W Lone Cactus Dr, Phoenix, AZ 85027, USA",http://www.hotrodsbydean.com/,(623) 581-1932,Hot Rods By Dean Representative,dean@hotrodsbydean.com,,The Probe (Regex),15,10,"$60,000 annually",auto,2026-02-16T02:40:09.000Z
Diamond Truck Body Manufacturing Inc.,Auto Body,"1908 E Fremont St, Stockton, CA 95205, USA",http://www.diamondtruckbody.com/,(209) 943-1655,Diamond Truck Body Manufacturing Inc. Representative,diamondtb@diamondtruckbody.com,,The Probe (Regex),10,5,"$112,500 annually",auto,2026-02-16T02:46:11.000Z
Discount Paint and Body,Auto Body,"1810 W Latham St, Phoenix, AZ 85007, USA",https://discountpaintandbody.com/,(602) 275-3030,Discount Paint and Body Representative,discountbodywork@aol.com,,The Probe (Regex),5,10,"$4,500 / month ($54,000 / year)",auto,2026-02-16T02:40:09.000Z
GO-TO Fleet Services,Auto Body,"2436 N Lazona Dr, Mesa, AZ 85203, USA",http://gotofleetservices.com/,(623) 401-4686,Decision Maker,dispatch@gotofleetservices.com,,Gemini Ultra Extract (80%),15,10,"$10,000 per month",auto,2026-02-16T02:46:11.000Z
All Pro Truck Body Shop,Auto Body,"6502 West Myrtle Ave, Glendale, AZ 85301, USA",https://allprotruck.com/,(602) 544-4444,Dustin,dustin@allprotruck.com,,Gemini Ultra Extract (55%),10,15,"$75,000 / year (based on missing ~2-3 jobs/month at an average of $2,500/job)",auto,2026-02-16T02:46:11.000Z
Power Commercial Truck & Equipment LLC,Auto Body,"15015 N 74th St #130, Scottsdale, AZ 85260, USA",http://powercommercialtruck.com/,(480) 744-1561,Power Commercial Truck & Equipment LLC Representative,eben@eyebytes.com,,The Probe (Regex),15,10,"$216,000 annually. This is a conservative calculation based on missing just two sales per month (avg. profit/unit: $9,000) that a modern digital presence would organically capture.",auto,2026-02-16T02:46:11.000Z
Elite Automotive Finishes,Auto Body,"1045 W Broadway Rd suite 8, Mesa, AZ 85210, USA",https://www.makeitelite.com/,(480) 644-0060,Elite Automotive Finishes Representative,eliteautomotivefinishes@gmail.com,,The Probe (Regex),15,10,"~$93,500 / year",auto,2026-02-16T02:43:44.000Z
All Arizona Auto Parts,Auto Body,"3010 W Broadway Rd Unit #A, Phoenix, AZ 85041, USA",https://autopartsaz.com/,(602) 840-3263,All Arizona Auto Parts Representative,erika@autopartsaz.com,,The Probe (Regex),15,20,"$354,000 / year",auto,2026-02-16T02:40:09.000Z
Joe's Collision Repair ( We Can Waive Your Deductible Up to $1500!),Auto Body,"2635 W Missouri Ave, Phoenix, AZ 85017, USA",http://projcr.com/,(602) 932-7454,Joe's Collision Repair ( We Can Waive Your Deductible Up to $1500!) Representative,estimate@projcr.com,,The Probe (Regex),5,0,"$180,000 Annually",auto,2026-02-16T02:43:44.000Z
First Class Auto Body,Auto Body,"3002 N Civic Center Plaza, Scottsdale, AZ 85251, USA",https://www.firstclassautobodyaz.com/,(480) 771-7967,First Class Auto Body Representative,fcabaz@yahoo.com,,The Probe (Regex),20,15,"$90,000 annually (based on 3 missed high-value repairs per month)",auto,2026-02-16T02:43:44.000Z
Onspot Fleet Service,Auto Body,"3935 South 67th Ave, Phoenix, AZ 85043, USA",http://onspotfleetservice.com/,(480) 330-9945,Onspot Fleet Service Representative,filler@godaddy.com,,The Probe (Regex),5,0,"$180,000 annually",auto,2026-02-16T02:46:11.000Z
Fleet First LLC,Auto Body,"30306 U.S. Hwy 60 89, Wickenburg, AZ 85390, USA",https://fleetfirstservices.com/,(928) 566-3794,Decision Maker,fleetfirstservices@gmail.com,,Gemini Ultra Extract (80%),5,0,"$52,800 annually",auto,2026-02-16T02:46:11.000Z
Auto Pros Collision Center,Auto Body,"1919 W Peoria Ave, Phoenix, AZ 85029, USA",https://www.autoproscc.com/,(602) 943-3355,Auto Pros Collision Center Representative,frontdesk@autoproscc.com,,The Probe (Regex),15,20,"$42,000 per month",auto,2026-02-16T02:43:44.000Z
"LR Classics, LLC",Auto Body,"12148 N Lavern Ln, Maricopa, AZ 85139, USA",https://www.lrclassicsllc.com/?utm_source=GMB,(520) 494-2745,"LR Classics, LLC Representative",gordon@levyracing.com,,The Probe (Regex),5,0,"$45,900 annually.",auto,2026-02-16T02:40:09.000Z
CertiFit Auto Body Parts,Auto Body,"4550 W Van Buren St, Phoenix, AZ 85043, USA",http://www.certifit.com/,(602) 278-4700,CertiFit Auto Body Parts Representative,grad@20..48,,The Probe (Regex),15,10,"$25,200 / year",auto,2026-02-16T02:40:09.000Z
Arizona Fleet Service,Auto Body,"11464 E Santa Fe Loop, Dewey, AZ 86327, USA",http://www.arizonafleetservice.com/,(833) 293-5338,Arizona Fleet Service Representative,greg@arizonafleet.com,,The Probe (Regex),5,0,"$150,000+ annually",auto,2026-02-16T02:46:11.000Z
American Legends Hot Rods and Muscle Cars,Auto Body,"11002 N 23rd Ave #2, Phoenix, AZ 85029, USA",http://www.alhotrods.com/,(623) 213-7288,American Legends Hot Rods and Muscle Cars Representative,impallari@gmail.com,,The Probe (Regex),22,18,"$17,500 / month",auto,2026-02-16T02:40:09.000Z
All American National Fleet Team,Auto Body,"2320 S 15th Ave, Phoenix, AZ 85007, USA",http://www.allamericannational.com/,,All American National Fleet Team Representative,info@amtfp.com,,The Probe (Regex),25,15,"$55,000 annually",auto,2026-02-16T02:46:11.000Z
AZ1 Collision & Repair Center,Auto Body,"4455 E University Dr, Phoenix, AZ 85034, USA",http://az1repair.com/,(480) 525-3050,AZ1 Collision & Repair Center Representative,info@az1repair.com,,The Probe (Regex),5,10,"$180,000 / year",auto,2026-02-16T02:43:44.000Z
AZ Collector Cars,Auto Body,"2725 N Ogden, Mesa, AZ 85215, USA",https://www.azcollectorcars.com/,(480) 985-2675,AZ Collector Cars Representative,info@azcollectorcars.com,,The Probe (Regex),0,0,"$90,000 / year",auto,2026-02-16T02:40:09.000Z
"AZ Wrecked Collision Repair, LLC",Auto Body,"5620 South 67th Ave, Laveen Village, AZ 85339, USA",http://azwrecked.com/,(623) 663-0005,"AZ Wrecked Collision Repair, LLC Representative",info@azwrecked.com,,The Probe (Regex),5,2,"$90,000 annually",auto,2026-02-16T02:43:44.000Z
Betts Truck Parts & Service,Auto Body,"7375 W Buckeye Rd, Phoenix, AZ 85043, USA",https://bettstruckparts.com/locations/phoenix/,(623) 907-9396,Betts Truck Parts & Service Representative,info@bettstruckparts.com,,The Probe (Regex),45,35,"$210,000 Annually",auto,2026-02-16T02:46:11.000Z
Brightwood Collision Center,Auto Body,"6275 S Kyrene Rd, Tempe, AZ 85283, USA",http://www.brightwoodcc.com/,(480) 897-6956,Brightwood Collision Center Representative,info@brightwoodcc.com,,The Probe (Regex),15,10,"$52,500 / year",auto,2026-02-16T02:43:44.000Z
Caliber Collision,Auto Body,"7021 W Oakland St, Chandler, AZ 85226, USA",https://www.caliber.com/find-a-location/chandler-w-oakland-st?utm_source=google&utm_medium=gbp-profile&utm_campaign=webform-GBPwebsite&utm_content=&utm_term=&utm_id=0966,(480) 598-1616,Decision Maker,info@caliber.com,,Gemini Ultra Extract (40%),75,65,"$840,000 annually in the Phoenix metro area alone. This is based on a conservative 2% conversion rate loss due to friction in the online estimate process, with a $3,500 Average Repair Order (ARO).",auto,2026-02-16T02:43:44.000Z
Classic Corner Garage,Auto Body,"639 W 2nd Ave, Mesa, AZ 85210, USA",https://www.classiccornergarage.com/,(480) 474-4395,Classic Corner Garage Representative,info@classiccornergarage.com,,The Probe (Regex),15,10,"$16,200+ per year.",auto,2026-02-16T02:40:09.000Z
Copperstate Classic Cars,Auto Body,"9849 N 19th Dr, Phoenix, AZ 85021, USA",https://www.copperstateclassiccars.com/,(602) 229-5000,Copperstate Classic Cars Representative,info@copperstateclassiccars.com,,The Probe (Regex),15,10,"$45,000 annually",auto,2026-02-16T02:40:09.000Z
Custom Truck One Source,Auto Body,"738 W Boeing Dr, Casa Grande, AZ 85122, USA",https://www.customtruck.com/,(866) 717-9465,Custom Truck One Source Representative,info@customtruck.com,,The Probe (Regex),0,0,$0,auto,2026-02-16T02:46:11.000Z
Dynasty Collision (Waive The Deductible Up To $1000),Auto Body,"6502 N 27th Ave, Phoenix, AZ 85017, USA",https://dynastycollision.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GBP-Visit,(602) 529-3304,Dynasty Collision (Waive The Deductible Up To $1000) Representative,info@dynastycollision.com,,The Probe (Regex),15,10,"Approximately $7,000 per month.",auto,2026-02-16T02:43:44.000Z
"Firebird Bus and Fleet Collision Center, LLC",Auto Body,"1350 N 24th Ave, Phoenix, AZ 85009, USA",http://www.firebirdbfcc.com/,(602) 675-4868,"Firebird Bus and Fleet Collision Center, LLC Representative",info@firebirdbfcc.com,,The Probe (Regex),5,5,"$48,000 annually (based on conservatively capturing 2 new fleet leads per month with a 25% close rate and an $8,000 average repair value).",auto,2026-02-16T02:46:11.000Z
Fleet painting & body shop,Auto Body,"3432 W Sherman St, Phoenix, AZ 85009, USA",http://fleetpaint.com/,(602) 269-2904,Fleet painting & body shop Representative,info@fleetpaint.com,,The Probe (Regex),15,10,"$240,000 / year",auto,2026-02-16T02:46:11.000Z
From The Frame Up,Auto Body,"4064 E Presidio St #104, Mesa, AZ 85215, USA",http://fromtheframeup.com/,(480) 588-8185,From The Frame Up Representative,info@fromtheframeup.com,,The Probe (Regex),5,0,"$11,520 per year. (Based on conservatively missing 2 new customers per month, with an average initial work order of $480.)",auto,2026-02-16T02:40:09.000Z
Gerber Collision & Glass,Auto Body,"8045 S Priest Dr, Tempe, AZ 85284, USA",https://www.gerbercollision.com/locations/tempe-priest-dr-az?utm_source=SEO_Local&utm_medium=SEO_Local_Snack_Pack&utm_campaign=AZ&utm_content=Tempe-Priest,(480) 422-3870,Gerber Collision & Glass Representative,info@gerbercollision.com,,The Probe (Regex),75,60,"$924,000 annually",auto,2026-02-16T02:43:44.000Z
MGA Collision Center,Auto Body,"950 N Stadem Dr, Tempe, AZ 85288, USA",https://mgacollisioncenter.com/,(480) 626-5811,MGA Collision Center Representative,info@indiantypefoundry.com,,The Probe (Regex),15,10,"$108,000 annually",auto,2026-02-16T02:43:44.000Z
Just Better Fleet Service,Auto Body,"835 W 22nd St #102, Tempe, AZ 85282, USA",http://www.justbetterfleet.com/,(480) 913-1626,Decision Maker,info@justbetterfleet.com,,Gemini Ultra Extract (40%),5,2,"$268,800 annually",auto,2026-02-16T02:46:11.000Z
Meet Your Mechanic,Auto Body,"5245 S Kyrene Rd #1, Tempe, AZ 85283, USA",http://www.meetyourmechanic.com/,(602) 370-0267,Meet Your Mechanic Representative,info@meetyourmechanic.com,,The Probe (Regex),15,5,"$10,675 per month ($128,100 annually)",auto,2026-02-16T02:40:09.000Z
Phx Auto Collision,Auto Body,"21622 N 7th Ave STE 1, Phoenix, AZ 85027, USA",http://www.phxautos.com/,(602) 802-9717,Phx Auto Collision Representative,info@ndiscovered.com,,The Probe (Regex),15,10,"$252,000 annually, based on missing out on an estimated 6 high-intent customers per month from local search.",auto,2026-02-16T02:43:44.000Z
Network Collision Repair,Auto Body,"1021 N Gilbert Rd #105, Gilbert, AZ 85234, USA",https://network-collision.com/,(480) 691-2299,Network Collision Repair Representative,info@network-collision.com,,The Probe (Regex),15,10,"$95,000+ per year",auto,2026-02-16T02:43:44.000Z
One Stop Auto Body & Paint - Collision Repair Specialists,Auto Body,"2017 W Ironwood Dr, Phoenix, AZ 85021, USA",https://onestopcollisionrepair.com/?utm_source=gmb&utm_medium=organic,(602) 944-0880,Decision Maker,info@onestopcollisionrepair.com,,Gemini Ultra Extract (75%),15,10,"$240,000 annually",auto,2026-02-16T02:43:44.000Z
Orlando Auto Body - Phoenix,Auto Body,"3439 S 40th St, Phoenix, AZ 85040, USA",https://orlandoautobody.com/phoenix-collision-center/,(602) 283-4453,Decision Maker,info@orlandoautobody.com,,Gemini Ultra Extract (35%),5,10,"$150,000 / year",auto,2026-02-16T02:43:44.000Z
Select Auto Body,Auto Body,"545 W Highland Ave, Phoenix, AZ 85013, USA",http://www.selectautobodyaz.com/,(602) 241-9111,Select Auto Body Representative,info@selectautobodyaz.com,,The Probe (Regex),15,10,"$91,800 annually",auto,2026-02-16T02:40:09.000Z
SS Collision - Auto Body & Paint Shop,Auto Body,"4124 N 22nd Dr, Phoenix, AZ 85015, USA",https://sscollision.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing,(602) 400-0880,SS Collision - Auto Body & Paint Shop Representative,info@sscollision.com,,The Probe (Regex),25,15,"$60,000 / year",auto,2026-02-16T02:43:44.000Z
Terrific Trucks & Equipment,Auto Body,"2601 W Jackson St, Phoenix, AZ 85009, USA",http://terrifictrucksandequipment.com/,(602) 513-8580,Terrific Trucks & Equipment Representative,info@terrifictrucksandequipment.com,,The Probe (Regex),15,10,"$54,000 / year",auto,2026-02-16T02:46:11.000Z
USA Collision,Auto Body,"10020 N Cave Creek Rd, Phoenix, AZ 85020, USA",http://www.usacollision.com/,(602) 861-1919,USA Collision Representative,info@usacollision.com,,The Probe (Regex),15,10,"Up to $450,000 annually.",auto,2026-02-16T02:43:44.000Z
Zion Auto Body LLC,Auto Body,"2244 N 23rd Dr, Phoenix, AZ 85009, USA",https://www.zionautobody.com/,(602) 352-1314,Zion Auto Body LLC Representative,info@zionautobody.com,,The Probe (Regex),10,5,"$102,000 annually",auto,2026-02-16T02:43:44.000Z
Collision Xperts,Auto Body,"260 S Alma School Rd #101, Mesa, AZ 85210, USA",http://collisionxpertsaz.com/,(480) 745-7295,Collision Xperts Representative,intake@cxpaz.com,,The Probe (Regex),5,10,"$180,000 / year",auto,2026-02-16T02:43:44.000Z
WRENCHES N RATCHETS MOBILE GARAGE LLC,Auto Body,"We only offer mobile services, 6606 W Harwell Rd, Laveen Village, AZ 85339, USA",http://wrenchesnratchets.com/,(623) 377-6579,WRENCHES N RATCHETS MOBILE GARAGE LLC Representative,intl-segmenter@11.7.10,,The Probe (Regex),5,5,"$24,000+ Annually",auto,2026-02-16T02:46:11.000Z
Phoenix Truck & Equipment Repair LLC,Auto Body,"2377 W Granada Rd, Phoenix, AZ 85009, USA",http://phoenixtruckrepair.com/,(602) 252-1414,Phoenix Truck & Equipment Repair LLC Representative,joe@phoenixtruckrepair.com,,The Probe (Regex),5,0,"$43,200 / year",auto,2026-02-16T02:46:11.000Z
Sports & Collector Car Center,Auto Body,"2042 W 1st St, Tempe, AZ 85281, USA",http://www.sccarcenter.com/,(480) 968-5000,Sports & Collector Car Center Representative,joeritz@sccarcenter.com,,The Probe (Regex),5,0,"$54,000 / year",auto,2026-02-16T02:40:09.000Z
Royal Truck Body,Auto Body,"900 W 1st Ave UNIT 1239, Mesa, AZ 85210, USA",http://royaltruckbody.com/,(602) 426-1774,Royal Truck Body Representative,js-cookie@3.0.1,,The Probe (Regex),55,40,"$131,250 per month (~$1.57M annually)",auto,2026-02-16T02:46:11.000Z
Kandy Shop Creations,Auto Body,"555 W 2nd Ave, Mesa, AZ 85210, USA",http://www.kandyshopcreations.com/,(602) 909-3496,Decision Maker,kandyshopcreations@yahoo.com,,Gemini Ultra Extract (80%),5,10,"$81,000+ per year",auto,2026-02-16T02:40:09.000Z
Campus Body Salon Ltd. (Collision Center),Auto Body,"1139 E Curry Rd #21, Tempe, AZ 85288, USA",https://campusbodysalon.com/?utm_source=google&utm_medium=organic&utm_content=main_button&utm_campaign=gmb,(480) 967-4976,Campus Body Salon Ltd. (Collision Center) Representative,leo@campusbodysalon.com,,The Probe (Regex),15,20,"$37,800 / year",auto,2026-02-16T02:43:44.000Z
Reading Truck,Auto Body,"2630 W Buckeye Rd, Phoenix, AZ 85009, USA",https://www.readingtruck.com/locations/reading-truck-phoenix-az/?utm_source=google&utm_medium=organic&utm_campaign=googlemaps&utm_content=maplink,(602) 269-9721,Decision Maker,marketing@readingtruck.com,,Gemini Ultra Extract (75%),12,8,"$46,800 / year",auto,2026-02-16T02:46:11.000Z
Venom Classics LLC,Auto Body,"250 S Mulberry Unit 112, Mesa, AZ 85202, USA",http://www.venomclassics.com/,(480) 528-4628,Venom Classics LLC Representative,mary@venomclassics.com,,The Probe (Regex),5,0,"$72,000 / year (est.)",auto,2026-02-16T02:40:09.000Z
Deluxe Customs (All Projects are Appointment Only!),Auto Body,"426 W Gemini Dr, Tempe, AZ 85283, USA",http://www.deluxecustoms.com/,(602) 909-3335,Deluxe Customs (All Projects are Appointment Only!) Representative,matt@deluxecustoms.com,,The Probe (Regex),15,10,"$108,000 annually. (Calculation: 6 missed high-value leads per month x $1,500 average project value x 12 months).",auto,2026-02-16T02:40:09.000Z
Scottsdale Premier Collision,Auto Body,"235 S Siesta Ln, Tempe, AZ 85288, USA",http://www.scottsdalepremiercollision.com/,(480) 371-3700,Scottsdale Premier Collision Representative,matt@pixelspread.com,,The Probe (Regex),15,10,"$72,000+ Annually",auto,2026-02-16T02:43:44.000Z
Allied Fleet Products Inc,Auto Body,"2736 W Palm Ln, Phoenix, AZ 85009, USA",http://www.alliedfleetprod.com/,(800) 221-0063,Allied Fleet Products Inc Representative,mbertone@alliedfleetprod.com,,The Probe (Regex),15,10,"$330,000 per year",auto,2026-02-16T02:46:11.000Z
Custom Truck Equipment,Auto Body,"517 W Mahoney Ave, Mesa, AZ 85210, USA",http://ctruckequipment.com/,(480) 363-7010,Custom Truck Equipment Representative,micah@micahrich.com,,The Probe (Regex),22,15,"$4,200/month",auto,2026-02-16T02:46:11.000Z
Mobile Welding & Fleet Repair,Auto Body,"314 W Apache St, Phoenix, AZ 85003, USA",https://www.weldingandfleet.com/,(480) 957-4301,Mobile Welding & Fleet Repair Representative,mobileweldingfleet@live.com,,The Probe (Regex),0,0,"$9,000+ per month ($108,000+ annually)",auto,2026-02-16T02:46:11.000Z
United Truck Bodies,Auto Body,"2235 S 19th Ave, Phoenix, AZ 85009, USA",http://unitedtruckbodies.com/,(602) 258-4223,United Truck Bodies Representative,mymail@mailservice.com,,The Probe (Regex),25,15,"$45,000 - $75,000 per year",auto,2026-02-16T02:46:11.000Z
Complete HTR,Auto Body,"2450 S 7th St, Phoenix, AZ 85034, USA",https://www.completehtr.com/,(623) 745-5896,Complete HTR Representative,office@completehtr.com,,The Probe (Regex),15,10,"$40,500 annually, based on missing an estimated 7 qualified online leads per week at a 25% conversion rate and a $450 average repair order.",auto,2026-02-16T02:46:11.000Z
SWC Auto Body,Auto Body,"934 E Southern Ave STE 101, Mesa, AZ 85204, USA",https://swcautobody.com/,(480) 474-4300,SWC Auto Body Representative,patrick@sunnwest.com,,The Probe (Regex),15,10,"Up to $15,000 per month ($180,000+ annually)",auto,2026-02-16T02:43:44.000Z
Crash Champions Collision Repair Elliot,Auto Body,"1740 W Elliot Rd, Gilbert, AZ 85233, USA",https://crashchampions.com/locations/crash-champions-elliot,(480) 539-9292,Crash Champions Collision Repair Elliot Representative,ph-menu-mob@2x.webp,,The Probe (Regex),45,30,"$10,500/month",auto,2026-02-16T02:43:44.000Z
Scott Arnold Restoration,Auto Body,"901 W 1st Ave # 1, Mesa, AZ 85210, USA",https://www.google.com/url?q=https://www.classic-muscle-car-restoration-phoenix.net/&sa=U&sqi=2&ved=2ahUKEwjC2tW27_GDAxV9JUQIHbjtBr8QFnoECDIQAQ&usg=AOvVaw0DDxYaLXZGrOaN5dqXPVKq,(480) 898-2827,Scott Arnold Restoration Representative,press@google.com,,The Probe (Regex),15,10,"approx. $39,000 annually",auto,2026-02-16T02:40:09.000Z
